example_portuguese_sentence,example_libras_sentence
você chegou há muito tempo? eu não vi.,você chegar tempomuito? eu vernão.
ela viajou de mala cheia.,elo viajar mala cheio.
meu amigo está cheio de estudar.,meo amigomo cheio estudar.
"pode fechar a torneira, a piscina já está cheia.","poder fechartorneira, piscina cheio já."
"hoje comi muito macarrão, agora estou cheio.",hoje macarrão comermuito agora cheio.
o ônibus estava muito cheio e eu não quis. fui de táxi.,ônibus cheiomuito eu querernão eu ir táxi.
ontem o teatro estava cheio de gente.,ontem teatro pessoa cheio.
o quarto do meu filho está muito cheio de brinquedos.,quarto filho brinquedo muito cheio.
"de manhã, a rua cheirava a perfume de flor.",manhã cedo rua cheirar boo parecer flor.
"o cheiro da comida está bom, me deu fome!",cheiro comida boo eu fome vontade.
o banheiro da rodoviária está com mau cheiro.,rodoviária banheiro cheiroruim.
"este frango está com cheiro ruim, é perigoso comê-lo.","frango cheiroruim, comer perigoso."
que mulher cheirosa de perfume francês!,mulher cheiroso perfume francês.
"não posso comprar os cds, pois esta loja não aceita cheques.",podernão comprar cd porque loja aceitar não cheque.
criança adora chicletes.,chiclete criança adorar.
criança adora chicletes.,criança adorar chiclete.
"na época da escravidão, os homens batiam nos escravos com chicote.",coisaarredondadacompridabater doer passado escravo sofrer pessoa ruim chicotear.
a polícia chicoteou o preso na prisão.,prisão polícia chicotear pessoa preso.
o touro tem grandes chifres.,touro ter chifregrande.
eu não conheço e pretendo viajar para o chile.,eu conheço não chile futuro eu viajar.
ele nasceu chileno.,elo nascer chileno.
"na china, a comida é diferente e gostosa.",china lá comida diferente gostoso.
eu sempre uso chinelo na praia.,eu praia sempre chinelo.
o vovô é chinês?,vovo seo china?
eu comprei um chocalho e presenteei o meu sobrinho bebê.,eu comprar chocalho 1spresentear3s sobrinho bebê.
antigamente os pais ficavam chocados ao ver o filho usando a língua de sinais.,antigamente filho línguadesinais pai mãe chocar.
a galinha chocou os ovos e nasceram os pintinhos.,galinha chocar ovo nascer pintopequeno.
o caminhão chocou-se com o muro e ele desmoronou.,caminhão veículochocarcoisaplanalonga muro coisaplanacair.
meu cunhado adora beber chocolate quente.,cunhado adorar chocolate coisaredondabeber quente.
hoje o chofer vem me buscar às cinco horas.,hoje 5 hora chofer 1sbuscar3s.
"na 6ª feira, um grupo de surdos do ines sempre toma chopp no bar.",grupo surdo ines sempre sextafeira bar tomar chopp.
"ontem, na estrada, eu vi o choque de dois carros, foi horrível!",ontem estrada ver 2 carro veículochoqueveículo horrível!
"meu filho estava tomando banho quente e, de repente, levou um choque no chuveiro elétrico.",filho tomarbanho chuveiro elétrico quente derepente choque.
a esposa chorou muito no enterro do marido.,enterro espoo esposo elo chorarmuito.
eu estava andando na rua e ouvi um choro.,eu rua pessoaandar ouvir choro.
antontem à tarde choveu muito.,anteontem tarde chovermuito.
meu filho não gosta de chuchu.,chuchu filho destestar.
eu sempre chupo laranja pela manhã.,manhã sempre eu chuparlaranja.
as crianças adoraram chupar pirulito.,criança adorar chuparpirulito.
o bebê chorou porque sua chupeta caiu no chão.,bebê chorar porque chupeta coisapequenacair.
"amanhã já está tudo certo, todos aceitaram em ir para a churrascaria.",amanhã certo churrascaria todo aceitar ir.
"meu amigo me convidou para um churrasco no próximo sábado, as 12 horas.",amigo 3sconvidar1s sábado próximo churrasco hora 12.
na minha casa nova há uma antiga e velha churrasqueira.,casa novo ter coisaretangularchurrasco velho antigo.
a carne do churrasquinho é uma delícia!,carne churrasquinho delícia!
domingo passado eu chutei na prova do vestibular.,domingo passado eu chutar prova vestibular.
"no jogo do vasco com flamengo, zico fez um gol e fez 1 x zero.",jogo vasco flamengo zico chutarbolagol 1 x 0
o jornal da televisão avisou que no sábado vai ter chuva muito forte.,jornal televisão avisar sábado vai chuvaforte.
o chuveiro do banheiro do colégio quebrou e tomei banho frio.,colégio banheiro chuveiro quebrar tomarbanho frio.
"hoje, a olimpíada tem competição de ciclismo?",hoje olimpíada competição corrida bicicleta ter?
minha avó quer viajar para são paulo e conhecer uma cidade grande.,vovó querer viajar sãopaulo conhecer cidade.
meu filho está na 5ª série e gosta de estudar ciências.,filho 5ªsérie gostar estudar ciências.
"à noite, na fazenda da vovó, eu podia ouvir a cigarra cantar.",vovo fazenda noite poder ouvir cigarra cantar.
o cigarro faz mal à saúde.,cigarro ruim saúde prejudicar.
o laboratório tem muitos e diferentes cilindros de vidro.,laboratório muito cilindro vidro diferente+.
"estranho, esse menino não tem cílios!",menino esso cílios ternão estranho!
essa parede precisa de cimento novo.,cimento acabar precisar comprar mais 5.
ela comprou cinco vestidos.,elo comprar vestido 5.
"a filmadora é muito cara, custa cinco mil dolares.",filmadora caro custar 5mil dolar.
fui ao cinema no sábado passado.,sábado passado ir cinema.
meu marido tem cinqüenta anos.,meo esposo idade 50.
o soldado usa cinto todo dia.,soldado tododia usarcinto.
a multa para quem não usa o cinto de segurança é alta.,carro cinto não multa caromuito!
"aquela mulher tem uma cintura fina, perfeita!",mulher aquelo cintura perfeito!
ele gosta de calça cinza.,elo gostar calça cinza
"na praia, à noite, o grupo de amigos fez uma fogueira que de manhã já havia se transformado em cinzas.",grupo amigo praia noite fazerfogueira manhã cedo cinza.
ela fuma muito no trabalho e precisa de cinzeiro.,trabalho elo fumarmuito precisar cinzeiro.
"quando chega um circo na cidade do interior, as crianças ficam contentes.",cidadeinterior palhaço^tenda chegar criança+ contente.
"por favor, circule, com o giz, o seu nome no quadro.",porfavor quadro você giz nome seo circular.
"o professor de matemática ensinou sobre círculo, quadrado e triângulo, foi fácil.",professor matemática ensinar círculo quadrado triângulo fácil.
na lei dos judeus é obrigatório circuncidar os meninos.,judeu lei obrigatório bebê menino pênis objetofinolongocircuncidar.
"na lei judaica, a circuncisão é obrigatória.",lei judeu obrigado objetofinolongocircuncisão.
a mulher fez cirurgia no seio.,mulher seiocirurgia.
"o homem bateu com o carro, teve o rosto deformado e precisou urgente de cirurgia plástica.",homem veículobater rostodeformar urgente cirurgiaplástica.
"a galinha sempre cisca o chão de terra, à procura de minhocas.",terra chão galinha sempre ave ciscar minhoca.
ele tem ciúme quando o namorado sai à rua.,elo ciúme namorado sair rua.
ela contou a estória de maneira clara e eu entendi bem.,elo estória contar entender claro eu entender bem.
"se amanhã o dia estiver claro, irei à praia.",si amanhã dia claro ir praia.
é claro que eu aceito!,claro eu aceitar!
a professora de ciências explicou as classes de peixes e aves.,professoro ciências explicar classe peixe ave.
ela se classificou para o vestibular.,vestibular elo feliz classificar.
"o clips acabou. por favor, compre mais!",clips acabar porfavor comprar.
já coloquei o cloro na piscina.,piscina cloro colocar já.
seu clube tem piscina e campo de futebol?,seo clube piscina futeboldecampo ter?
o chefe o coagiu no trabalho.,trabalho chefe 1smandar3s coagir.
"por favor, coe o suco de laranja.",porfavor laranja suco coar.
"à noite, ele sempre usa coberta para dormir.",noite dormir elo sempre coberta.
eu bati no cachorro que fez xixi no meu cobertor!,cachorro xixi cobertor meo bater!
meu amigo tem 8 carros zero quilômotro diferentes! ele cobiça comprar mais dois!,amigo meo carro quantidade 8 diferente+ 0km elo desejar ambição mais comprar 2!
cuidado! essa cobra é perigosa e venenosa!,cuidado! cobra esso perigoso venenoso!
meu tio trabalha como cobrador de ônibus.,meo tio trabalhar ônibus dinheiro cobrador.
o governo cobra imposto de renda alto.,governo ir cobrar absurdo alto
eu estou cansada de cobrar o meu livro e ele nada de devolver.,livro elo devolver nada eu cansado 1scobrar3s.
o frio era forte e eu me cobri com um lençol.,frio forte lençol eu cobrir.
"estava chovendo muito, eu corri e me cobri no ponto de ônibus.",chovermuito eu correr pontoônibus cobrir.
vou cobrie a marmita para ela permanecer quente.,marmita cobrir quente permanecer.
aquele grupo jovem é viciado e cheira cocaína todos os dias.,grupo jovem aquelo viciado cheirarcocaína tododia.
aquele grupo jovem é viciado e cheira cocaína todos os dias.,grupo jovem aquelo viciado cheirarcocaína tododia.
"eu tenho alergia a camarão, se eu comer meu rosto fica vermelho e começa a coçar.",eu camarão alergia. si comer rosto vermelho coçar rosto.
os índios sabem fazer lindo cocar.,índio fazer cocar lindo!
"meu namorado sempre faz cócegas no pescoço, eu gosto.",namorado meo sempre cócegaspescoço eu gostar.
ela vestiu um casaco de lã e depois teve coceiras pelo corpo.,elo casaco vestir depois coceiracorpo.
"a professora reclamou, porque nós duas cochichamos durante a aula.",professoro reclamar nós2 aula cochichar podernão.
o vigia sempre cochila em seu trabalho à noite.,trabalho noite vigia sempre cochilar.
na praia de maceió há muito côco.,praia maceió côco muito.
a mulher comprou um coelho e deu para o filho.,mulher comprar coelho 3sdar2s filho.
o cofre do banco tem um número difícil.,banco cofre número difícil.
na floresta existem muitos cogumelos.,floresta muito cogumelo.
"cuidado, lá no stio o cavalo dá coice!",cuidado lá sítio cavalo coice!
"que coincidência, a gente comprou o mesmo livro!",comprar livro igual coincidência!
"que coincidência, nós três viemos de blusas iguais.",nós3 coincidência blusa igual.
o aniversário dele coincide com o seu.,aniversário delo coincidir aniversário seo.
eu viajei para a frança e comprei coisas lindas!,passado eu viajar frança comprar coisa lindo!
o menino caiu da bicicleta e cortou a testa. coitado!,menino bicicleta veículocair cortartesta coitado!
"o casal fez coito, porque quer ter filhos.",casal fazer coito quer filho.
o professor avisou que não podia colar.,professoro 3savisar2p proibido cola.
ela me pediu para comprar cola.,elo 3spedir1s comprar cola.
"em casa, ela sempre colabora com a mãe.",casa elo sempre colaborar mãe.
"ele vai te presentear, no teu aniversário, com um colar de ouro.",colar ouro seo aniversário elo 3spresentar2s.
eu comprei uma blusa com o colarinho bonito!,eu comprar blusa colarinho bonito.
você precisa comprar um colchão novo.,coisafofacama novo você precisar comprar.
a mãe doou o colchão velho para um pessoa pobre.,coisafofadormir velho pessoa pobre mãe doar.
ele é meu colega de trabalho.,elo trabalho colega.
preciso encontrar um colégio barato para meu filho estudar.,eu precisar procurar casa^estudo barato meo filho estudar.
"procuro a colher, pois o bebê precisa comer.",procurar colher bebê precisar comer.
"vi flores lindas na praça, tive vontade de colher.",praça eu ver flor bonitomuito vontade colher.
a colher do pedreiro sumiu; você viu?,pedreiro colher procurar sumir você ver?
"no carnaval, vi na tv que dois ônibus colidiram e que morreram seis pessoas.",carnaval ver tv ônibus colidircoisaplana morrer 6 pessoa
perto da casa de minha tia tem uma colina verde linda!,casa tio perto colina verde lindo!
o menino estava com o olho inflamado e o médico mandou pingar colírio.,menino olhoinflamar médico mandar pingarcolírio.
eu coloquei o papel sobre a mesa.,borracha mesa coisapequenacolocar.
"a calça dele está larga, precisa colocar cinto.",elo calça larga precisar colocarcinto.
"para a colômbia, a viagem de avião tem cerca de oito horas de duração.",colômbia viajar avião horaduração maisoumenos 8.
aquele homem colombiano que trabalha na loja é bonito.,aquelo homem colombiano trabalhar loja bonito.
eu comprei vários papéis coloridos.,eu comprar papel colorido.
na escola as crianças gostam de colorir papel.,escola criança gostar papel colorir riscar.
eu preciso ir ao médico porque estou com dor na coluna.,eu precisar médico dor coluna.
"com licença, vou passar!",com licença eu passar.
"o carro do pastor colidiu e ele está em coma, no hospital.",pastor carro veículocolidircoisaplana hospital internado coma silêncio.
"durante uma semana,eu comandei todos os empregados.",1 semana empregado tudo eu comandar.
"na segunda guerra mundial, os estados unidos combateram a alemanha.",passado 2ª guerra mundial estadosunidos combater alemanha.
ontem eu combinei com meu amigo dar um passeio de barco.,ontem combinar amigo passeio barco.
a blusa azul feminina combina com a saia branca.,mulher blusa azul combinar saia branca.
acabou o combustível do carro.,carro combustível acabar.
o congresso dos surdos começa amanhã.,surdo congresso começar amanhã.
hoje ela começou a trabalhar.,hoje elo começar trabalho.
nos sábados à noite sempre há comédia na televisão.,sábado noite sempre tv comédia.
ontem foi a comemoração dos 50 anos da associação de surdos.,ontem festa comemoração 50 ano associação surdo.
amanhã meus pais vão comemorar 50 anos de casamento.,amanhã pai mãe comemorar 50 ano casamento.
hoje no trabalho todos estavam comentando sobre futebol.,hoje trabalho amigo todo comentar futebol.
o comentarista do jornal na tv explicou o acidente na estrada.,tv jornal comentarista explicar acidente estrada.
"ele come muito, parece um leão.",elo comermuito parecer leão.
eu vi um comercial engraçado na tv.,tv eu ver comercial engraçado.
hoje é feriado e o comércio está todo fechado.,comércio todo hoje feriado fechado.
"no ano passado eu vi, na tv, um bonito cometa.",anopassado ver tv cometa bonito.
ano passado foi avisado na televisão que havia sido encontrado um novo cometa.,anopassado ver tv cometa objetolongomover bonito.
ele é cômico.,elo cômico.
ela gosta de comida salgada.,elo gostar comida sal forte.
você quer falar comigo?,você querer falar comigo?
a comissão de intérpretes se organiza para fundar a associação.,comissão intérprete organizar fundar associação.
como ele vai conseguir trabalho? ele não tem o 2º grau.,elo conseguir trabalho como? elo 2º grau ternão.
como soube que eu terminei o namoro?,eu terminarnamoro como saber?
"eu estou querendo comprar uma cômoda antiga, linda!",eu vontade comprar coisaretangulargrandeabrirgaveta antigo lindo!
no trabalho dele há muito comodismo.,trabalho delo muito comodismo.
eu vi no vídeo um drama que me comoveu.,vídeo eu ver filme romance eu comover.
ele se compadeceu ao ver as crianças pobres dormindo na rua.,elo compadecer 1sver3s criança pobre rua dormir.
eu vi crianças pobres na rua e senti compaixão.,criança pobre rua eu compaixão.
eu e ele sempre viajamos. ele é bom companheiro.,eu elo sempre viajar elo companheiro boo.
"ela gosta de cinema sempre com companhia. sozinha, não.",elo gostar cinema sempre companhia sozinho não.
a companhia de cigarros faliu.,companhia cigarro falir.
veja e compare qual a mais gorda: eu ou ela?,ver comparar eu elo gordo mais qual?
hoje ela não compareceu à reunião.,hoje reunião elo aovivo^comparecer não.
"o compasso quebrou, preciso comprar outro.",compasso quebrar precisar comprar outro.
ele faltou ao trabalho dois dias mas pode compensar.,elo trabalho faltar+ dia 2 compensação poder.
"ela faltou dois dias ao trabalho, agora precisa compensar.",trabalho elo faltar dia2 precisar compensar.
ontem eu vi a competição de surf na praia.,ontem praia eu ver competição surf.
amanhã meu filho vai competir em natação.,filho natação amanhã competir.
consegui completar toda a prova.,prova todo conseguir completar.
o meu álbum de fotos está completo.,meo álbum foto completo.
a aula de matemática foi complicada.,aula matemática complicado.
"no teatro, todos os alunos se sentaram e se comportaram bem.",teatro aluno todo sentar comportar boo.
"vou sábado a petrópolis, para comprar várias blusas.",sábado eu ir petrópolis comprar blusa vário+.
você compreendeu o que o professor explicou?,professoro explicar você compreender?
essa moça tem lindos cabelos compridos.,mulher jovem cabelocomprido lindo.
"o homem do basquete é alto, tem um braço comprido, enorme.",homem basquete alto braçocomprido enorme.
"na passeata houve confusão, pois os carros de polícia passavam e comprimiam a multidão.",passeata confusão carro polícia veículomoverrápido muitopessoa comprimido.
meu filho toma comprimido todo dia.,meo filho tomarcomprimido tododia.
hoje eu tenho o compromisso de ir ao médico às quinze horas.,hoje eu compromisso médico hora 3.
agora todas as pessoas têm um computador.,agora todo pessoa ter computador.
"a loja só tem roupa comum, barata.",loja só roupa comum barato.
"para a festa de sábado, não precisa usar roupa luxuosa, só comum.",festa sábado precisarnão roupa luxo só comum.
no domingo ela vai à igreja comungar.,elo ir igreja domingo comungar.
na igreja católica tem comunhão todo domingo.,igreja católica domingo todo comunhão.
a comunicação de ouvinte com surdo é difícil.,ouvinte surdo comunicação difícil.
o diretor comunicou que a escola irá fechar no feriado.,diretor comunicar escola feriado fechar.
a comunidade esportiva surda já viajou para a itália.,anopassado comunidade surdo já viajar itália campeonato.
no brasil há muitos comunistas? não conheço.,brasil ter muito comunista? eu conhecer não.
o técnico pediu que os jogadores se concentrassem no futebol e ignorassem o barulho.,técnico pedir jogador concentrar futebol ignorar barulho.
eu catei muitas conchas na praia.,praia concha eu catarmuito.
já concluí a obra do apartamento.,obra apartamento concluir já.
os dois amigos conversaram e concordaram em trabalhar no projeto.,amigo 2 conversar concordar projeto trabalhar.
a loja de surf e a mais próxima têm problema de concorrência.,loja surf igual pertoladodireto problema concorrência.
"no futebol, o brasil quer concorrer com a alemanha para decidir qual é o melhor?",futebol brasil querer concorrer alemanha melhor qual?
o meu filho passou no concurso para a marinha.,meo filho passar concurso marinha.
no sábado passado houve o concurso de miss.,sábado passado já concurso miss.
eu sempre lavo os cabelos e passo condicionador.,eu sempre lavarcabelo creme^esfregarcabeça.
o condomínio do meu prédio está sempre aumentando e eu vou processar o síndico por isso.,condomínio meo prédio aumentar sempre eu processar.
os intérpretes precisam ter uma conduta de neutralidade.,intérprete precisar conduta neutro.
a mulher mandou confeccionar um longo vestido vermelho.,mulher 3smandar1s confeccionar vestidolongo vermelho.
ela fez e depois confeitou um bolo de chocolate.,elo fazer bolo chocolate depois confeitar.
"amanhã, o presidente do brasil vai conferenciar no congresso.",presidente brasil amanhã conferenciar congresso.
"no trabalho, ela conferiu as caixas que chegam.",trabalho elo caixa+ chegar ver conferir.
"amanhã eu vou à igreja, para confessar com o padre.",amanhã eu ir igreja confessar.
"no carnaval, as crianças gostam de jogar confetes.",carnaval criança gostar confetejogar.
ela precisa ter confiança na empregada.,ela precisar confiança empregado.
"eu confio no meu filho, nunca desconfio dele.",eu confiar meo filho nunca desconfiar .
o assunto da reunião é confidencial.,reunião conversa confidencial.
aquele amigo sempre tem conversas confidenciais.,aquelo amigo sempre conversar confidencial.
o médico confirmou que ela está grávida.,médico confirmar elo grávida.
os guardas confiscaram os objetos dos camelôs.,material coisa+ camelô+ guarda confiscardistributivo.
"eu vi a confissão dela, é verdade.",eu ver confissão delo verdadeiro.
o governador de minas gerais teve um conflito com o presidente lula por causa de verbas atrasadas.,governador delo minasgerais conflito presidente lula verba atrasado.
"meu pai morreu, eu fiquei nervoso mas agora me conformei.",pai morrer eu nervoso agora conformar.
o menino estava triste e a mãe o confortou.,menino triste mãe 1sconfortar3s.
"ela comprou um carro grande, com muito conforto.",elo comprar carro grande conforto melhor.
eles se confrontaram no judô.,judô elo2 confrontar.
você se confundiu com o número do ônibus e nós erramos o caminho.,número ônibus você confundir nós caminho errado.
"ontem houve um assalto na loja, a polícia chegou, foi uma confusão.",ontem loja assalto polícia chegar confusão.
"ontem na loja houve um assalto a polícia chegou, foi uma confusão.",escola diretor reclamar gostarnão confusão.
é bom você congelar a comida porque é possível guardá-la por um mês sem se estragar.,comida você congelar boo possível guardar 1 mês estragar não.
"hoje, um congestionamento na estrada me atrasou para o trabalho.",estrada hoje carro veículocongestionamento eu atrasar trabalho.
minha igreja tem uma congregação de surdos.,meo igreja ter congregação surdo.
"no sábado passado, fui a um congresso de medicina.",sábado passado eu ir congresso medicina.
"em janeiro, eu vou conhecer natal.",janeiro eu ir conhecer natal.
ele tem um conhecimento profundo de informática.,elo boo informática conhecimento profundo.
a ficha da loja exige que se preencha com os nomes dos conjuges.,loja ficha exigir cônjugue nome dos2.
hoje a titia vai jantar conosco.,hoje confirmado titio jantar todo junto.
todos estão felizes porque o brasil conquistou o penta.,brasil conquistar penta todo feliz.
"ele sempre falta ao trabalho, não tem consciência.",trabalho elo sempre faltar consciência ternão.
eu consegui entrar na faculdade.,faculdade eu conseguir entrar.
a escola tem um bom conselheiro.,escola ter boo conselheiro.
com um pai conselheiro toda a família é bem educada.,pai conselheiro todo familia boo educado.
"se está preocupado com alguma coisa, peça conselho ao seu pai.",si você problema preocupado coisa 2spedir3s pai conselho.
"minha televisão quebrou, vou levá-la para consertar.",tv quebrar eu levar consertar.
"por favor, o computador está novo, tenha cuidado, conserve.",porfavor computador novo cuidado conservar.
o pai morreu e o filho consolou a mãe.,pai morrer filho consolar mãe.
"a constituição brasileira precisa mudar, não tem um capílulo sobre direito de surdo.","constituição brasileira ternão capítulo direito surdo, precisar mudar."
a construção da casa de meu tio demorou muito.,tio casa construção demorarmuito.
ela sonha em construir casa própria.,elo sonho construir casa própria.
"vou à biblioteca consultar livros, para o trabalho de ciências.",ir bibilioteca consultar livro trabalho ciências.
a família foi comer pizza e depois o pai pediu a conta.,família comer pizza depois pai 1spedir3s conta.
você tem conta-corrente? preciso depositar seu pagamento.,você ter contacorrente? seo pagamento eu precisar depositar.
eu estou com gripe e preciso comprar um novo conta-gotas para pingar no nariz.,eu gripe precisar comprar contagotas novo pingarnariz.
ele trabalha com contabilidade.,elo trabalhar contabilidade.
as escolas infantis têm contadores de história.,escola+ criança+ ter pessoa história contar.
o contador da feneis trabalha muito.,contador feneis trabalharmuito.
"ontem comi biscoito contaminado e passei mal, com dor de barriga.",ontem eu comer biscoito contaminado eu mal dordebarriga.
"você não pode jogar lixo no rio, pois a sujeira pode contaminar.",você podernão lixo rio jogar poder contaminar sujo.
"na escola, a professora ensina os alunos a contar.",escola professor ensinar aluno contar.
a mãe sempre conta estórias para o filho.,mamãe sempre filho contar estória.
eu não gosto de contar aos outros sobre a vida com a minha esposa!,gostarnão 1scontar3s vida esposo meo!
preciso contatar meu amigo que mora na frança.,meo amigo lá frança eu precisar contatar.
ela sempre tem contato com o primo que está no canadá.,primo canadá elo sempre contato.
meu amigo ganhou um carro e ficou muito contente.,amigo ganhar carro contentemuito.
gostei do livro que ensina o português em um contexto.,gostar livro ensinar português contexto.
eu quero passear contigo.,passear eu querer junto você.
os padres sempre praticam a continência.,padre+ sempre continência.
meu filho entrou para a marinha e aprendeu a fazer continência.,mo filho entrar marinha aprender continência.
o chefe falou que meu contrato de trabalho vai continuar.,chefe 3sfalar1s trabalho contrato continuar acabar não.
ontem eu comprei um ótimo livro de contos!,ontem comprar livro conto ótimo!
meu amigo é contra cigarro e sempre reclama.,cigarro meo amigo contra sempre reclamar.
"neste mês, não recebi o contra-cheque.",mês agora receber não coisaretangularsalário.
o paraguai ocupa o primeiro lugar em contrabando de carros brasileiros.,paraguai primeirolugar contrabando carro brasil.
"ela usou vestido branco e o irmão, ao contrário, vestiu preto.",elo festa vestido branco irmo delo contrário vestido preto errado.
preciso contratar uma babá para tomar conta do meu filho.,precisar contratar baba tomarconta meo filho.
o supermercado quer contratar sete surdos.,supermercado querer contratar 7 surdo.
o chefe rasgou o contrato errado e fez outro.,chefe rasgar contrato errado fazer outro.
os velhos ricos sempre dão contribuição para a igreja.,velho rico sempre dinheiro contribuição igreja.
ele contribuiu para a construção da nova casa dos cegos.,elo contrubuir construção casa cego
o controle remoto da minha televisão quebrou.,controle remoto meo tv quebrar.
convenci meu amigo a voltar a estudar.,eu convencer meo amigo voltar estudar
ele é muito convencido.,elo convencido forte.
a escola de surdos tem convênio com a federação de surdos.,escola surdo ter convênio federação surdo.
a freira vive em um convento.,freira viver casa^freira.
"na aula de libras, ele trabalhou uma conversação simples.",aula libras elo trabalhar conversação simples.
o pai católico não gostou da conversão de seu filho que se tornou evangélico.,pai católico gostarnão filho conversão evangélico.
ontem nós duas conversamos sobre problemas familiares.,ontem nós2 conversar sobre problema família.
"antes ela era católica, agora converteu-se e é crente.",elo antes católica agora converter espiritismo.
meu amigo me convidou para o casamento do primo dele.,meo amigo convidar casamento primo delo.
ela distribuiu convites para a festa de 15 anos da filha.,elo coisaretangularconvite distribuir festa 15 filho delo.
"a escola é pequena, só tem um coordenador.",escola pequeno ter 1 coordenadoro só .
os alunos não gostam de copiar atividades do quadro-negro.,aluno gostarnão quadro copiar.
ontem comprei uns copos lindos para dar de presente.,ontem comprar presente copo lindo.
o lançamento do livro dela teve um bom coquetel.,livro lançar delo coquetel bom.
eu comprei uma blusa de cor laranja.,eu comprar blusa cor laranja.
meu primo já foi operado de um problema no coração.,meo primo problema coração operar já.
"ela tem muita coragem. de madrugada, sempre anda sozinha na rua.",elo coragem sempre rua madrugada sozinho.
"você foi corajoso, pegou o ladrão!",você corajoso ladrão pegar!
"na minha igreja, o coral cantou lindas músicas de natal.",meo igreja coral música natal lindo.
"o corcovado, no rio de janeiro, é lindo!",riodejaneiro cruz corcovado lindo!
meu vizinho é velho e corcunda.,meo vizinho velho costa corcunda.
preciso trocar as cordas do meu violão.,violão precisar trocar corda.
em israel há cordeiros bonitos e diferentes.,lá israel ccarneiro pequeno diferente bonito
meu pai já namorou uma mulher coreana.,pai meo já passado namorar mulher coreano.
a copa do mundo de 2002 foi na coréia.,copa mundo 2002 lá coréia.
"no quartel, pela manhã, um soldado toca a corneta para todos entrarem na fila.",quartel manhã soldado tocarcorneta todo fila.
eu visitei petrópolis e vi uma coroa de ouro.,petropólis eu visitar ver coroa ouro.
o coronel mora perto de minha casa.,coronel morar perto meo casa.
"meu amigo tem um corpo lindo, forte.",amigo corpo lindo forte.
o apartamento do meu primo tem um corredor estreito.,apartamento meo primo corredor estreito.
"eu preciso ir, com urgência, ao correio antes que ele se feche.",correio precisar urgente ir vai fechar.
o portão de casa não tem corrente. preciso comprar.,portão casa ternão corrente precisar comprar.
a correnteza do rio é forte e perigosa.,rio água correnteza forte perigoso.
minha filha adora correr de manhã.,mo filho adorar correr manhã.
ontem vi o cavalo correr.,ontem ver cavalo aninalcorrer.
aquele caminhão está correndo muito.,caminhão lá corrermuito.
"ontem, na passeata, a polícia jogou uma bomba e houve correria.",ontem passeata polícia jogarbomba correria.
eu correspondi bem no trabalho.,eu corresponder bem trabalho.
eu me correspondo com meu amigo na frança.,eu 1scorresponder3s amigo frança.
"ao vender uma casa, o corretor sempre cobra 6% do valor do imóvel.",corretor vender casa sempre cobrar 6%.
eu vi a corrida de fórmula 1 na televisão.,tv eu ver corrida fórmulaum.
"não vou poder passear, tenho muitas provas que preciso corrigir.",podernão passear eu prova muito corrigir precisar.
a carne permaneceu dois dias em cima da pia e ficou corrompida.,carne em cima pia 2 dia corromper
"não teve a palestra do professor de educação no seminário de surdos, foi cortada.",seminário surdo palestrar professoro educação ternão cortar.
"o janela quebrou, os vidros se espalharam e o menino cortou o dedo.",janela vidro quebrar criança dedo lâminacortar .
ela está atrasada para o trabalho e cortou o caminho para chegar mais rápido.,elo atrasado trabalho rápido cortar caminho.
o meu primo é cortês.,meo primo cortês.
na minha casa tem uma cortina muito bonita.,cortina meo casa bonitomuito.
meu marido é um pai coruja.,mo marido pai coruja.
ontem à noite eu vi uma coruja.,ontem noite eu ver olhogrande^nariztorto.
eu preciso comprar um novo cosmético.,cosmético eu precisar comprar novo.
"por favor, coce as minhas costas.",porfavor coçar costa.
"a costa brasileira é linda, tem muitas praias.",brasil costa lindo muito praia.
o homem caiu da moto e fraturou a costela.,homem moto veículocair costela fraturar.
você tem costeletas muito feias!,você costeleta feio!
ela tem o costume de dormir cedo.,elo costume dormir cedo.
minha mãe vai costurar o meu vestido de formatura.,vestido meo formatura mãe 3sajudar1s costurar.
minha mãe costura à máquina todos os dias.,meo mãe costuraràmáquina tododia.
eu preciso de uma costureira para fazer meu vestido novo.,eu precisar ir profissional costurar fazer vestido novo.
"no chá de bebê você escolhe fralda, cotonete e chupeta.",chádebebe você escolher fralda cotonete chupeta.
"ontem, no futebol, um amigo deu uma cotovelada com maldade.",futebol ontem amigo cotovelada maldade .
você está com o cotovelo sujo.,você sujo cotovelo.
"para fazer a obra, o homem usou um cotovelo no cano.",homem fazer obra usar cotovelo cano.
a mulher comprou um casaco de couro chique.,mulher comprar casaco couro chique.
"meu amigo grande é covarde, ele tem medo de menino.",meo amigo grande covarde elo medo menino.
aquela mulher gorda tem a coxa grossa.,mulher lá gordo coxa grosso.
ele coxeava porque cortou o pé.,elo pé cortar coxear.
naquela festa tinha muita coxinha de galinha e eu ababei comendo muito.,festa lá galinha coxinha muito eu comermuito.
"domingo, eu almocei um cozido gostoso na casa da vovó.",domingo eu almoçar casa vovó cozido gostoso.
a cozinha da minha casa é pequena.,cozinha meo casa pequeno.
meu marido cozinha bem.,meo esposo comer cozinhar bem.
minha avó foi cozinheira do hospital.,meo vovo trabalhar já mulher cozinhar hospital..
no meu trabalho é obrigado o uso de crachá.,meo trabalho obrigado crachá.
"o engenheiro andou de moto sem capacete, bateu no muro e arrebentou o crânio.",engenheiro andarmoto capacete sem muro bater crânio arrebentar.
