example_portuguese_sentence,example_libras_sentence
o aniversário dela é amanhã.,aniversário dele amanhã.
hoje é o aniversário de um aninho do meu neto.,apagar vela bater palmas neto meu 1 idade hoje.
ontem eu dormi e sonhei com anjos.,ontem dormir eu sonhar anjo muito.
o ano tem 12 meses.,ano ter 12 mês.
feliz ano novo!,feliz ano novo!
no ano novo vou viajar para a frança.,próximo estorar champanhe eu viajar frança.
no início do próximo ano eu vou à casa da praia do meu pai em cabo frio.,ano que vem ano novo ir praia cabo frio casa pai.
"no ano passado, comprei um carro.",ano passado comprar carro.
no ano que vem vamos nos formar em pedagogia.,ano que vem nós dois formar pedagogia.
"no ano que vem, eu vou mudar de casa.",ano depois eu mudar casa.
qual o ano do seu carro ?,carro ano?
quantos anos você tem?,você idade?
há anos que eu trabalho na mesma escola.,anos trabalhar mesmo escola.
um ónibus passou rápido e atropelou uma pessoa e eu anotei o número da placa dele.,ônibus veículo mover rápido pessoa atropelar eu anotar número placa.
eu vi a polícia anotar a placa do seu carro.,eu ver polícia placa carro seu anotar.
"o ônibus andou rápido, atropelou uma pessoa e eu anotei o número da placa.",ônibus veículo mover rápido pessoa atropelar eu anotar número placa.
a ansiedade é prejudicial à saúde.,ansiedade ruim saúde.
eu estou ansioso para viajar.,eu ansioso viajar.
o iraque e os estados unidos têm interesses antagônicos a respeito do petróleo.,iraque estados unidos petróleo interesse antagônico.
o meu amigo quer conhecer a antártica! corajoso!,amigo meu querer conhecer antártica! corajoso!
"meu amigo caiu da moto e quebrou o antebraço, foi horrível!",amigo meu moto veículo cair quebrar antebraço horrível!
você precisa divulgar a reunião com quarenta dias de antecedência.,reunião você precisar divulgar 40 dia antecedência.
é obrigatório anunciar a reunião da diretoria com antecedência de quarenta e cinco dias.,reunião diretoria obrigatório anunciar antecedência 45 dias.
o feriado de vinte um de abril é antecedente à prova do dia 22.,feriado 21 abril anteceder prova dia 22.
"meu tio antecipou a viagem à fortaleza, porque depois estará ocupado.",viagem fortaleza meu tio antecipar porque depois ele ocupado.
eu antecipei meu casamento para o mês que vem.,casamento eu antecipar mês depois.
"é ótimo a televisão ter antena parabólica, porque possui diversos canais.",televisão antena parabólica canal diverso ótimo.
"a imagem da tv está ruim. por favor, suba no telhado e arrume a antena.","favor, você subir telhado arrumar antena, tv imagem ruim."
a formiga tem antenas para se comunicar com as outras.,formiga ter antena comunicar outras formigas
a barata possui antena comprida.,barata ter antena comprida.
anteontem teve festa no clube.,anteontem clube festa ter.
"meu cabele é igual ao dos meus antepassados, como o meu avô.",cabele meu igual antepassado vovô meu.
no mês passado você me falou que viajaria para a austrália?,você mês anterior falar viajar austrália?
lembra-se que os filmes anteriores eram melhores.,lembrar anterior filme melhores
"antes eu era gorda, agora sou magra.",antes eu gordo agora magro.
"lave as mãos antes, para poder comer.",antes lavar mão poder comer.
esqueci de tomar a pílula anticoncepcional e agora estou grávida.,esquecer pílula evitar gravidez agora já eu grávida.
eu gosto de carro antigo.,eu gostar carro antigo.
no egito antigo construiram pirâmides bonitas.,egito antigo construir pirâmides bonito.
as antilhas são famosas no mundo como local para turismo.,antilhas local famoso mundo turismo.
"eu não gosto dele, ele é sempre antipático.",eu gostar não ele sempre antipático.
o festival da associação do chope é sempre anual.,associação chope festival sempre anual.
a prova de vestibular foi anulada por causa do roubo de prova.,prova vestibular anulado por causa roubo prova.
o professor anulou a prova de matemática porque os alunos já sabiam as respostas.,professor anular prova matemática porque aluno saber resposta já.
"ontem, no vôlei, a bola acertou e inchou meu dedo anular.",volêi ontem bola acertar dedo anular inchar.
a televisão anunciou às lojas vão diminuir o preço dos carro.,televisão anunciar amanhã loja carro preço diminuir.
"você viu hoje, na televisão, o anúncio da vacina?",você ver televisão anúncio vacina hoje já?
o rio tem peixe grande. é melhor pescar com anzol grande porque é mais dífícil de se quebrar.,rio ter peixe grande pescar melhor anzol grande quebrar difícil.
"eu tenho medo de ir à cozinha porque está escura, com a luz apagada.",cozinha luz apagado escuro eu medo.
"o professor de ciências é mau, jogou o apagador na cabeça do aluno.",professor ciências mau apagador jogar aluno bater cabeça.
você se esqueceu de apagar a luz do banheiro ontem.,ontem banheiro você esquecer luz apagar.
"você é fraco, não conseguiu soprar e apagar a vela.",você fraco conseguir não soprar apagar vela.
"mês passado, no carnaval, encontrei um colega de infância e fiquei apaixonada.",mês passado colega infância encontrar carnaval eu apaixonado.
"ontem, vi uma mulher linda na boate, apaixonei-me e tive vontade de namorá-la.",ontem boate ver mulher lindo eu apaixonar vontade namorar.
a polícia pegou o ladrão e apalpou todo o seu corpo para procurar maconha.,polícia ontem ladrão apalpar procurar maconha.
a mulher deixou cair a luva e o homem educado a apanhou e entregou.,"mulher luva deixar cair, homem apanhar entregar educado."
"o menino apanhou, com o cinto, do padrinho ruim.",padrinho ruim cinto apanhar menino.
seu pai não sabe aparafusar o armário.,pai seu saber não armário aparafusar.
aquele famoso ator de televisão sempre aparece na revista.,aquele ator famoso televisão revista aparecer sempre.
até que enfim você apareceu!,você aparecer até que enfim!
o meu pai não tem dinheiro para comprar o aparelho auditivo.,pai meu dinheiro não ter comprar aparelho auditivo.
na minha casa não tem aparelho de som porque minha família é de surdos.,casa meu ter não aparelho som porque família meu surdo.
"aparentemente ele não está com problema algum, mas é preciso fazer exame médico.","aparentemente ele problema nenhum, precisa fazer exame."
ela mora no apartamento de número 102.,ele morar prédio apartamento número 102.
fiquei apavorado ao ver meu amigo cair da árvore e quebrar o braço e o levei para o hospital.,eu ver amigo árvore cair braço quebrar eu apavorado levar hospital.
não se apavore quando aparecer um vampiro de mentira!,vampiro mentira aparecer você apavorar não!
eu adotei um filho e de repente me apeguei a ele.,eu adotar filho de repente apegar já.
"os alunos apelaram ao diretor para liberá-los da aula de segunda-feira, porque na terça-feira é feriado.",aluno apelar diretor ter não aula segunda feira porque feriado terça feira.
minha avó me apelidou de chocolate porque adoro comer chocolate.,eu sempre vovó meu nome apelidar chocolate porque adorar comer chocolate.
eu vou apelidar o professor de cabeludo.,nome apelidar professor cabeludo.
o apelido dele é cavalo.,ele apelido sinal cavalo.
apenas eu tomo um sorvete; vocês podem tomar mais.,apenas eu tomar um sorvete vocês poder mais.
meu chefe me pediu para aperfeiçoar o trabalho.,chefe pedir aperfeiçoar trabalho.
o professor me pediu que aperfeiçoasse o inglês.,professor pedir aperfeiçoar inglês.
ele está apertado por causa do pagamento das parcelas do carro.,ele apertado dinheiro porque pagamento parcela carro delo.
minha esposa adora usar calça apertada.,esposa meu calça apertado adorar.
"meu vestido está largo, vou pedir à minha mãe que aperte um pouco.",vestido largo eu pedir mae apertar pouco.
"as crianças, geralmente, não têm apetite.",criança ter não vontade comer.
os adolescentes de hoje têm um forte apetite sexual.,adolescente hoje apetite sexual forte.
a comida baiana é muito apimentada.,comida baiana apimentado muito.
"a polícia apitou, o homem que estava dirigindo fingiu que não ouviu e fugiu.",polícia apitar homem dirigir fingir ouvir não fugir.
meu filho comprou três apitos de cores diferentes.,filho meu comprar apito três diferente cor.
"sábado passado eu fui ao teatro e, no final, todos aplaudiram de pé.","sábado passado eu ir teatro, fim pessoa todo em pé aplaudir."
"eu vi um surdo fazendo poesia em língua de sinais, foi lindo, aplaudi muito.","eu ver surdo poesia língua sinais lindo, eu aplaudir muito."
está na hora de aplicar injeção.,hora aplicar injeção já.
todo mês eu aplico o meu dinhiro.,mês sempre dinheiro aplicar.
os pobres apoderaram-se do terreno abandonado.,pessoa pobre terreno vazio apoderar.
"avise à empregada que é preciso colocar a uva na geladeira, pois se não colocar, a uva vai apodrecer.",avisar empregado precisar uva colocar  geladeira se colocar não uva apodrecer.
"como ator, ele já atingiu o apogeu.",ele ator apogeu já.
"a minha família apoia financeiramente meu irmão, que tem quatro filhos e uma vida com dificuldades.",familia meu apoiar dinheiro irmão meu filho 4 vida dificil muito.
o governo apoiou a proposta de intérprete na escola para os surdos.,proposta intérprete escola surdo governo apoiar.
"por favor, me empreste o seu apontador?",poder emprestar apontador seo?
a ponta do lápis quebrou e eu o apontei com o apontador.,lápis ponta quebrar eu apontador apontar.
você apontou para essa pessoa. quem é?,você apontar pessoa qum?
"após à festa, nós iremos para casa.",ápos festa nós ir casa.
a maioria das pessoas aposentadas recebem pouco.,aposentado maioria receber pouco.
o dinheiro da minha aposentadoria é muito pouco.,aposentadoria dinheiro meu pouco muito.
falta um ano para o meu tio se aposentar.,faltar 1 ano tio meu aposentar.
os dois amigos apostaram uma corrida de carro.,eles dois amigo apostar corrida carro.
"antes de morrer, jesus fez uma ceia com os doze apóstolos.",jesus morrer antes ceia junto 12 seguidores
ela viajou para o amazonas e apreciou muito a bonita floresta!,ele viajar amazonas apreciar floresta bonito!
a polícia subiu o morro para apreender o homem e as drogas que vendia.,polícia subir morro apreender homem vender droga.
"eu aprendi a dirigir com meu pai, que me ensinou há três anos.",eu aprender dirigir 3 ano atrás pai ensinar.
ela apresentou um desfile de moda diferente!,ele apresentar desfile moda diferente!
"na segunda-feira, você precisa apresentar-se no novo trabalho.",trabalho novo você precisar estar segunda feira.
por que você não me apresentou a seu pai?,porque apresentar não pai seu?
ele apressou-se para chegar cedo ao trabalho.,ele apressar chegar cedo trabalho.
apresse-se que o desfile vai começar agora.,você apressar desfile começar agora.
a polícia aprisionou o advogado porque ele falsificou os documentos.,polícia aprisionar advogado ele documento falsificar.
você precisa se aprofundar nos estudos para conhecer psicologia.,você precisar aprofundar estudar conhecer psicologia.
meu amigo foi aprovado na prova de vestibular.,amigo meu prova vestibular aprovado.
foi aprovada a lei sobre a gratuidade de transporte para surdos.,ônibus metrô lei surdo entrar gratuidade aprovado.
ela está feliz porque foi aprovada no vestibular.,vestibular prova ele aprovado feliz.
a professora aprovou todos os alunos com uma boa nota de português.,aluno todo aprovar prova português nota bom.
o governador aprovou a verba para a construção de novas escolas.,governador aprovar verba novo escola construir.
eu vou viajar para o paraná e aproveitar para conhecer tudo.,eu viajar paraná aproveitar conhecer tudo.
"meu primo desistiu de viajar de avião, deu-me a passagem e eu aproveitei.",primo desistir avião viajar dar passagem eu aproveitar.
tenho vontade de me aproximar e paquerar aquele homem bonito.,homem bonito ali eu vontade aproximar pessoa paquerar.
o nosso trem está quase se aproximando da ferroviária.,trem nosso aproximar ferroviária quase.
o médico mandou avisar que você está apto a trabalhar amanhã.,médico avisar voce pode trabalhar amanhã.
meu primo me deu um lindo aquário.,primo meu dar aquário lindo.
eu sou de aquário e vocês dois são de leão.,eu aquário vocês2 leão.
o aquecedor da cozinha quebrou.,aquecedor cozinha quebrar.
"dentro da casa está frio, vou acender a lareira para aquecer o ambiente.",casa dentro frio eu ir lareira acender aquecer ambiente.
aquele livro é muito caro.,livro aquele caro muito.
é aqui a rua das laranjeiras?,aqui rua laranjeiras?
o ar de são paulo é muito poluído.,são paulo ar poluído muito.
a arábia saudita tem muito petróleo.,arábia ter muito petróleo.
aracajú é a capital de sergipe.,aracajú capital sergipe.
vou comprar 100 metros de arame para cercar a minha fazenda.,eu comprar arame 100 metros cercar fazenda.
o veneno da aranha é perigoso.,aranha perigoso veneno.
o homem arou a terra e depois plantou milho.,homem arar depois milho plantar.
na casa do meu amigo tem uma arara linda!,casa amigo meu ter arara lindo!
você irá arbitrar o jogo do flamengo e vasco no maracanã ?,você arbitrar vai jogo flamengo vasco maracanã?
lá no sítio da vovó há muitos arbustos.,vovó meu sítio lá ter muito arvores pequenas.
"sempre que a chuva acaba, surge um lindo arco-íris.",sempre chuva acabar arco-íris lindo aparecer.
"meu sobrinho vai às olimpíadas, participar de uma prova de arco e flecha.",meu sobrinho vai arco flecha olímpiada.
todo dia minha amiga usa um arco diferente.,meu amigo todo dia usar arco diferente.
ontem peguei muito sol o dia todo na praia e meu corpo está ardendo e doendo.,ontem praia sol dia todo corpo dor pele quente.
vovó enconstou a mão no fogão e agora a mão dela está ardendo.,vovó meu fogão mão encostar agora arder.
a comida baiana arde muito e eu não como mais.,eu comida baiana arder muito nunca mais.
nas praias do ceará a areia é bonita e muito branca.,praia ceará terra areia bonito branco muito.
faz muito frio na argentina.,argentina lá frio muito.
"ele é diferente, parece ser argentino ou italiano.",ele diferente parecer argentino ou italiano.
o ladrão escondeu a arma na mochila.,ladrão arma esconder mochila.
"seu armário está bagunçado e feio, é preciso arrumá-lo.",armário seu bagunçado feio precisar arrumar.
o aroma daquela flor é suave.,flor aquele aroma suave.
o palmeiras precisa um arqueiro profissional.,palmeiras precisa arqueiro profissional.
ela sempre arqueja porque tem asma.,ele sempre arquejar problema asma.
chamei um arquiteto para fazer o desenho da minha casa.,chamar arquiteto desenhar casa meu.
no ano que vem meu filho vai se formar em arquitetura.,meu filho arquitetura ano que vem formar.
você já arquivou os documentos na minha sala?,você já arquivar meu documento sala?
a escola tem um arquivo velho.,escola ter arquivo velho.
"eu, quando era criança, adorava soltar arraia.",antes eu acrinaça adorar soltararraia.
hoje o meu tio arrancou a cenoura da terra.,tio meu hoje cenoura arrancar.
o gato arranhou o braço daquela moça.,moço aquele gato braço arranhar.
meu amigo arranjou um trabalho com bom salário.,trabalho amigo meu arranjar salário bom.
ontem eu arranjei uma nova namorada.,eu novo namorado arranjar ontem.
"na idade da pedra, o homem arrastava a mulher, segurando-a pelos cabelos.",antigamente idade pedra homem cabele mulher segurar arrastar.
o saco arrebentou e caiu no chão.,saco arrebentar caiu chão.
aquele homem rico arrematou o quadro por duzentos mil.,homem aquele rico levantar mão arrematar quadro 200 mil.
o professor de educação física arremessou a bola para muito longe.,professor educação física bola arremessar longe muito.
eu me arrependi por ter comprado um carro velho porque o motor está com muitos problemas.,eu arrepender comprar carro velho motor problema.
o homem mostrou uma cara de arrependimento ao separar-se da mulher.,homem separar mulher cara arrependimento.
eu arrepiei quando ele colocou a mão gelada em meu ombro.,ele mão tocar ombro gelado eu arrepiar.
ele é tão arrogante que não gosta de conversar com pessoas pobres.,ele arrogante muito gostar não conversar pobre.
o advogado me pediu para arrolar meus bens.,advogado pedir arrolar bens meu.
"ontem, de madrugada, o ladrão arrombou a porta da minha casa.",ontem madrugada ladrão porta arrombar casa meu.
ele arrotou porque bebeu muita coca-cola.,ele arrotar porque coca cola beber muito.
eu sempre como arroz com feijão porque eu gosto.,eu sempre comer arroz feijão junto eu gostar.
"eu já estou arrumado, esperando minha noiva, para passearmos juntos.",eu arrumado esperar noivo meu junto ir passear.
minha empregada arruma muito bem a casa.,empregado meu arrumar casa perfeito.
vamos arrumar tudo para a festa da formatura da minha neta.,nós arrumar tudo festa meu neto formatura.
as mulheres demoram para se arrumar.,mulher demorar arrumar.
quem está articulando a sua candidatura para a presidência do clube?,clube candidatura presidência responsável articular quem?
meu amigo rico comprou uma fazenda e plantou um extenso arvoredo de diferentes tipos.,amigo meu rico comprar fazenda arvoredo plantar diferente.
aquele homem cortou as asas do papagaio. que absurdo!,aquele homem papagaio asa cortartesoura absurdo!
ontem eu vi na televisão que um avião quebrou a asa e caiu.,ontem ver televisão avião asa quebrar avião cair.
"amanhã, no churrasco na minha casa, você prefere asa de galinha ou coração?",amanhã casa meu churrasco você preferir asa galinha ou coração ?
"jesus morrer e, depois de três dias, jesus ascendeu ao céu.",jesus morrer 3 dia depois jesus ascender.
minha rua está com asfalto novo.,rua casa meu asfalto novo.
"o menino colocou um plástico na cabeça, asfixiou-se e morreu.",menino plástico colocar cabeça asfixiar morrer.
eu conheço um médico muito bom que trata da asma. quer que lhe dê o telefone?,eu conhecer médico bom consultar problema  asma. querer dar telefone?
o nome da peça de teatro é os surdos enamorados.,teatro nome aspas os surdos e namorados.
o adolescente esfolou-se no escorregador por causa da sua aspereza.,adolescente escorregador esfolar por causa aspereza.
"no natal, meu marido me deu um aspirador de pó de presente.",marido meu natal presentear aspirador de pó.
aproveite para aspirar o ar puro da montanha!,montanha ar puro aproveitar aspirar!
o cheiro do hospital é asqueroso!,hospital cheiro asqueroso!
você gosta de peixe assado?,peixe assado você gostar?
ontem dois homens assaltaram o ônibus.,ontem ônibus homem dois assaltar.
minha mãe vai assar a carne agora.,mãe meu carne assar agora.
"na padaria, um cachorro estava babando, olhando o frango assar.",padaria lá cachorro babar olhar frango assar.
eu vi na tv um homem ruim que assassinou três crianças.,ver tv homem ruim crianças 3 matar.
eu freqüento a igreja da assembléia de deus.,eu igreja assembléia deus frequentar.
"na semana passada fui à assembléia, para votar no novo presidente da feneis.",semana passada eu ir feneis assembleia novo votar presidente.
"ele é assim, adora brigar!",ele assim adorar brigar!
os alunos não conseguiam assimilar suas explicações.,aquele aluno conseguir não assimilar você explicação.
ontem eu fui ao banco assinar os documentos.,ontem eu ir banco assinar documento.
eu quero fazer assinatura semestral do jornal.,eu querer jornal assinatura semestral.
os meus pais estão muito velhos e preciso contratar uma assistente para cuidar deles.,eu procurar pessoa colocar assistente cuidar pai mae meu porque velho muito.
a escola de surdo tem duas assistentes sociais.,escola inês surdo ter 2 assistente social.
nós três iremos à feneis assistir à assembléia.,nós três ir feneis assistir assembleia.
hoje vou assistir a um bom filme no cinema.,hoje ir cinema assistir filme bom.
quero assistir à palestra dele.,palestra dele querer assistir.
a empregada já encerou o assoalho.,empregado assoalho encerar já.
meu filho vive assoando o nariz porque ele tem alergia a poeira.,"filho meu poeira alergia, precisar assoar sempre."
o menino assobiou para chamar o cachorro e ele veio correndo para receber carinho.,menino assobiar cachorro ouvir animal correr junto carinho.
onde você ouviu o assobio?,você assobio ouvir onde?
o brasil tem diversas associações de surdos.,brasil ter associação surdo muito.
os dois advogados vão se associar para trabalhar juntos.,advogado dois trabalhar junto associar vai.
eu não gosto do filme de assombração.,filme assombração eu gostar não.
o presidente da associação faleceu e o vice- presidente assumiu.,presidente associação falecer vice presidente assumir.
eu assumo o meu filho e tenho a responsabilidade de sustentá-lo.,assumir filho meu responsabilidade sustentar.
você assume que cometeu adultério?,você adultério assumir?
o grupo de jovens discutiu sobre o assunto drogas.,grupo jovem discutir conversar o que droga.
"você me assustou jogando em mim um rato de mentira, de borracha.",eu assustar jogar rato borracha mentira.
vou estudar na faculdade de astronomia.,vou estudar faculdade astronomia.
"meu marido, quando jovem, era astuto e conseguia vender tudo na loja.",meu esposo passado jovem astuto loja vender tudo conseguir.
ontem um cachorro bravo atacou o menino.,ontem cachorro bravo atacar morder menino.
"o flamengo atacou muito o vasco, mas não ganhou.",flamengo trave atacar muito vasco ganhar não.
estou nervoso porque um cachorro bravo me atacou e mordeu.,ontem cachorro bravo atacar morder eu nervoso!
vamos pegar um atalho para chegar mais rápido em casa.,nós dois atalho casa chegar rápido.
o parafuso da porta do carro caiu e eu vou atarraxar.,carro porta parafuso eu atarraxar.
você precisa ler o livro da página cinco até quatorze.,você precisar ler livro número 5 até 14.
até logo! amanhã nos encontraremos no cinema.,até logo! amanhã encontrar lá cinema.
"na floresta é perigoso atear fogo, porque pode se alastra.",floresta perigoso acender fósforo fogo poder alastrar.
atenção! é perigoso dirigir batendo papo.,dirigir bater papo perigoso atenção!
"ele está cansado, nada de atenção na aula!",ele cansado aula atenção nada!
ele está com a atenção voltada para a palestra.,ele atenção palestra.
"ontem eu estava doente, agora preciso de um atestado médico para apresentar no trabalho.",ontem eu doente precisar documento médico apresentar trabalho.
eu tenho um documento que atesta que aquele aluno faltou porque esteve doente durante dois dias.,eu ter documento atestar aluno aquele faltar doente 2 dias.
tenho um amigo que é ateu.,eu ter amigo ateu.
a mulher morreu porque foi atingida por uma bala perdida na cabeça.,ontem bala atingir cabeça mulher morrer.
o homem assaltou a loja e atirou em uma mulher.,homem assaltar loja revólver atirar mulher.
voce atirou a pedra e quebrou o vidro da janela.,você pedra atirar janela vidro quebrar.
na olimpíada um surdo ganhou duas medalhas no atletismo.,olimpíada surdo ganhar medalha duas atletismo.
não fique atônito. não há nada ruim.,não atônito nada ruim.
conhece aquele homem? é um famoso ator de novela.,conhecer homem aquele? famoso ator novela é.
eu tenho atração pela mulher loura.,eu atração mulher loura.
aquela propaganda sobre o pacote de viagem para a europa me atrai muito.,aquele propaganda viagem europa pacote atrair muito.
ela sempre se intromete e atrapalha o trabalho.,ele sempre intrometer trabalho atrapalhar.
"desculpe-me, estava xerocando e me atrapelhei, não era para xerocar este papel, mas o outro.","desculpe eu xerocar atrapalhar, papel esto não ser outro."
ontem eu estava na fila do banco atrás de três pessoas que tagarelavam.,ontem eu fila banco atrás pessoa 3 tagarelar.
amigo sempre ofende de frente só o covarde fala atrás.,amigo sempre ofender pessoa frente nunca só atrás ele covarde.
ela sempre se atrasa para o trabalho.,ele sempre trabalho atrasar.
"tenha atenção ao atravesar a rua, os carros passam ligeiros, é muito perigoso!","atenção rua atravessar! carro rápido, perigoso muito."
ela é uma boa atriz.,ele ator mulher bom.
o ônibus atropelou três crianças.,ônibus veículo atropelar pessoa 3 crianço.
você sabe o nome do atual presidente do brasil?,você saber nome presidente brasil atual?
que dia você vai atuar no teatro?,você teatro atuar dia?
"as pessoas têm cinco sentidos: audição, paladar, olfato, tato e visão.",pessoa ter 5 sentir ouvido ouvir paladar olfato tato visão.
a sua audição está boa?,audição seu bom?
preciso fazer audiometria para saber se tenho algum problema de audição.,eu precisar audiometrica saber problema audição.
"eu sinto, com certeza, que o auditório estará lotado amanhã.",amanhã sentir certo auditório lotado.
"a aula de português começará na sala 4, às sete horas.",português aula começar hora 7 número sala 4.
a minha família vai aumentar porque minha esposa está grávida novamente.,família meu aumentar esposo meu grávida novamente.
amanhã a gasolina vai aumentar.,gasolina amanhã vai aumentar.
nós precisamos aumentar a sala!,nós precisar sala aumentar!
ele quer que aumente o volume do som.,ele querer aparelhodesom aumentar.
você conhece a austrália?,você conhecer austrália?
"meu filho é australiano, não é brasileiro.",meu filho australiano não brasileiro.
"ele é austríaco, não se acostuma com o calor aqui do brasil.",ele austríaco acostumar não calor aqui brasil.
preciso autenticar meu documento hoje.,precisar autenticar documento meu hoje.
meu relógio é americano e automático.,relógio meu americano automático.
comprei um carro importado automático.,eu comprar carro importado automático.
meu amigo adora automobilismo.,amigo meu adorar carro corrida.
eu tenho vontade de comprar um automóvel novo.,eu vontade comprar automóvel novo.
meu pai se aposentou como vendedor autônomo pele i.n.s.s.,meu pai vendedor autônomo i.n.s.s. aposentar já.
o autor desse livro é surdo.,livro esto autor homem surdo é.
a escola respeita a autoridade da diretora.,escola diretoro autoridade respeitar.
a mãe autorizou o filho a ir no passeio da escola.,passeio escola mãe autorizar filho dele ir.
a professora me pediu para auxiliar o aluno com dificuldade de aprendizado.,professor pedir auxiliar aluno aprendizado dificuldade.
a pessoa pobre precisa de auxílio do governo.,pobre auxílio governo precisar.
o homem determinou o valor de venda para a mansão.,casa grande homem ver pesquisar preço vender.
preciso avaliar o meu apartamento.,precisar apartamento meu avaliar.
"a rainha vitória, da inglaterra, abdicou do trono por causa da sua avançada idade.",rainha vitória inglaterra abdicar por causa idade avançado.
"minha avó tem idéias avançadas, parece jovem!",avo meu idéia avançado. parece jovem!
o carro avançou o sinal vermelho.,carro veiculo avançar sinal vermelho.
"desculpe-me, mas eu cheguei primeiro, você não pode passar à minha frente.","desculpe,chegar primeiro. você poder não avançar pessoa!"
aquele homem é muito avarento.,aquele homem avarento muito.
a avareza não é coisa boa.,avareza bom não.
quer conhecer todas as aves no zoológico?,zoológico ave diversos querer ver?
você vai de carro pela avenida brasil?,você ir carro avenida brasil?
eu comprei um avental lindo!,eu comprar avental lindo!
meu noivo sempre teve aversão a fígado.,meu noivo sempre fígado aversão.
nunca vi uma avestruz!,avestruz nunca ver!
um homem rico tem seu próprio avião.,homem rico ter próprio avião.
o meu tio já pilotou avião de guerra.,meu tio avião guerra pilotar já.
você já andou no avião a jato?,avião jato você já voar?
favor avisar a eles que não haverá aula amanhã.,favor avisar amanhã aula ter não .
meu avô tem cem anos.,avo meu homem idade 100.
o meu avô tem 100 anos.,meu avo idade 100.
eu tenho problemas nas axilas e não posso usar desodorante.,eu problema axila poder não usar desodorante.
ela caiu da escada. que azar!,ele escada pessoacair azar!
"qual é mais azedo, o limão ou a laranja?",qual azedo forte limão laranja?
o azeite português é o melhor do mundo!,azeite portugal dele melhor mundo!
meu filho adora comer azeitona verde.,filho meu adorar comer azeitona.
eu prefiro comprar um carro azul escuro.,eu comprar carro cor preferir azul escuro.
meu nome começa com a letra b.,nome meu começar letra b.
a baba do cachorro é horrível.,baba cachorro horrível.
a babá é ótima e trata bem dos meus filhos.,tomar conta bebê ótimo tratar bem filho meu.
"a babá faltou, estou preocupada.",baba faltar eu preocupado.
ela quer o casaco com babado no pulso.,ele querer casaco babadopulso.
aquele bebê precisa de babador.,bebê aquele precisar babador.
ontem eu vi uma mulher linda e fiquei babando.,ontem eu ver mulher lindo muito eu babar.
hoje vamos ao restaurante só para comer bacalhau.,hoje nós restaurante só comer bacalhau.
na feira de niterói vendem bacalhau muito mais barato.,niteroi lá feira vender peixe bacalhau preço barato.
"por favor, procure a bacia, eu não achei.",favor procurar bacia eu achar não.
as pessoas do maranhão adoram suco de bacuri.,pessoa lá maranhão adorar suco bacuri.
às seis horas da tarde o sino da igreja dá seis badaladas.,hora 6 tarde sino igreja badalada quanto 6.
minha bagagem sumiu no aeroporto.,bagagem meu sumir lá aeroporto.
"minha mãe saiu, meu irmão vai bagunçar.",mãe meu sair irmão meu bagunçar vai.
eu já fui à bahia durante o carnaval.,carnaval eu ir já bahia.
"aquela bailarina é famosa, eu conheço.",bailarino aquele eu conhecer ele famoso.
amanhã à noite eu quero ir ao baile.,amanhã noite eu querer ir baile.
eu vou levar o meu vestido para a costureira fazer a bainha.,vestido meu eu levar mulher costurar bainha.
em que bairro você mora?,você morar bairro qual?
"o preço de televisão baixou, vou comprar logo.",televisão preço baixar eu precisar rápido comprar.
o médico falou que meu filho precisa tomar remédio para crescer porque ele está baixo.,médico falar filho meu precisar tomar remédio crescer porque ele baixo.
aquele menino bajula minha professora de ciências.,menino aquele professor meu ciências bajular.
"a polícia precisa de munição para o tiroteio, pois vai prender os bandidos no morro.",polícia precisar bala revólver vai tiroteio morro bandido.
as crianças adoram bala de uva.,bala uva criança adorar.
a balança do supermercado estava com defeito.,balança lá supermercado defeito.
vovó adora balançar na cadeira e fazer tricô.,vovo adorar balançar cadeira tricotar.
meus sobrinhos querem balançar de gangorra lá na praça.,sobrinho meu querer balançar gangorra lá praça.
"eu sonho ficar deitado, balançando na rede e descansando.",eu sonhar balançar rede descansar.
"todo mês, obrigatoriamente, é feito o balanço na loja.",todo mês loja balanço soma obrigatório.
o balanço do parque da praça está quebrado.,praça parque balanço quebrado.
"para a festa de um ano do meu filho, eu decorei a casa com balões coloridos.",festa meu filho 1 ano balão colorido decorar.
não é bom soltar balão. é perigoso ele cair e provocar incêndio em uma casa.,bom não balão perigoso si cairbalão casa fogo.
amanhã vou com meu filho ao sítio do meu primo para ver o balão.,amanhã eu filho junto ir sitio primo ver balão.
"eu vi esta criança surda balbuciando, que fofinha!",seu filho bebê balbuciar fofo!
eu vi um bebê surdo tentando se comunicar através da língua de sinais. é tão fofinho!,eu ver bebê esto surdo balbuciar fofo!
preciso comprar um balde.,eu comprar balde precisar.
a baldeação daquele metrô demora demais.,lá metrô estação troca demorar muito.
nós dois iremos assistir o balé em copacabana.,nós dois vamos assistir lá balé copacabana.
"ontem eu vi, na televisão, uma baleia morrer.",ontem ver televisão baleia morrer.
eu viajei para amazonas e fui de carro pela balsa.,eu viajar lá amazonas carro veículo balsa.
quando eu era pequena adorava brincar de bambolê todos os dias.,antigamente eu pequeno brincar bambolê tododia.
a criança bamboleia com mais perfeição do que o adulto.,criança bambolear perfeito do que adulto.
vou pegar bambus para fazer barracas para a festa junina.,pegar bambu fazer barraca festa junina.
comer banana é importante para a saúde.,banana comer importante saúde bom.
o namorado dela trabalha em uma banca de jornal que sempre abre cedo.,namorado dele trabalhar banca jornal sempre abrir cedo.
